Fecha,Coord
2019-01-01,-89.6105453 21.0223829 2
2019-01-01,-89.6104019 21.0224118 0
2019-01-01,-89.6103098 21.0222996 0
2019-01-01,-89.6103098 21.0222996 0
2019-01-01,-89.6103098 21.0222996 0
2019-01-01,-89.6102174 21.022292 0
2019-01-01,-89.6102174 21.022292 0
2019-01-01,-89.6102174 21.022292 0
2019-01-01,-89.6102174 21.022292 0
2019-01-01,-89.6043182 21.0294217999999 92
2019-01-01,-89.603539 21.0326477 12
2019-01-01,-89.6027371999999 21.0359294 9
2019-01-01,-89.6061805 21.0394395999999 0
2019-01-01,-89.6061805 21.0394395999999 0
2019-01-01,-89.603443 21.037201 0
2019-01-01,-89.6038341 21.0374239999999 0
2019-01-01,-89.6038628 21.0374686 0
2019-01-01,-89.6041197 21.0364543 0
2019-01-01,-89.6041197 21.0364543 0
2019-01-01,-89.6041197 21.0364543 0
2019-01-01,-89.6037673 21.0375958 0
2019-01-01,-89.6033212 21.0374852 0
2019-01-01,-89.6033212 21.0374852 0
2019-01-01,-89.6033212 21.0374852 0
2019-01-01,-89.6035845 21.0376159 0
2019-01-01,-89.6037399 21.0376972 0
2019-01-01,-89.6037399 21.0376972 0
2019-01-01,-89.6037399 21.0376972 0
2019-01-01,-89.6033487 21.0365626999999 0
2019-01-01,-89.6033487 21.0365626999999 0
2019-01-01,-89.5996021999999 21.0377795 0
2019-01-01,-89.5996021999999 21.0377795 0
2019-01-01,-89.5996021999999 21.0377795 0
2019-01-01,-89.5856592999999 21.0332385 -12
2019-01-01,-89.5804209 21.0313351999999 -29
2019-01-01,-89.5749649999999 21.0294706 -26
2019-01-01,-89.5692950999999 21.0266909 -38
2019-01-01,-89.5650897 21.0201687 -28
2019-01-01,-89.5615596999999 21.0144227 -52
2019-01-01,-89.5617961 21.0074662 2
2019-01-01,-89.5605112 21.0015394 2
2019-01-01,-89.5621384 20.9945156 0
2019-01-01,-89.5631298999999 20.9879502 0
2019-01-01,-89.5638719999999 20.9818218 0
2019-01-01,-89.5647199 20.9752711999999 29
2019-01-01,-89.5659067 20.9683785 1
2019-01-01,-89.566435 20.9646258999999 15
2019-01-01,-89.5669192 20.9633201 0
2019-01-01,-89.5665990999999 20.9616537 0
2019-01-01,-89.5734189 20.9460683 0
2019-01-01,-89.5836392 20.9389139 0
2019-01-01,-89.5836392 20.9389139 0
2019-01-01,-89.5836392 20.9389139 0
2019-01-01,-89.5836392 20.9389139 0
2019-01-01,-89.5836392 20.9389139 0
2019-01-01,-89.6092362999999 20.9197736 8
2019-01-01,-89.6136906999999 20.9167323 -7
2019-01-01,-89.6158672999999 20.9151761 -18
2019-01-01,-89.6160752 20.9166746999999 -28
2019-01-01,-89.6160762 20.918912 -22
2019-01-01,-89.6167157 20.9208979 0
2019-01-01,-89.6180988 20.9205468999999 13
2019-01-01,-89.617842 20.9203585 30
2019-01-01,-89.6181728 20.9203638 0
2019-01-01,-89.6182021 20.9205047 -2
2019-01-01,-89.6182178 20.9205301 -2
2019-01-01,-89.6182429 20.9205304999999 0
2019-01-01,-89.6182429 20.9205304999999 0
2019-01-01,-89.6182315 20.9205021999999 -1
2019-01-01,-89.6182315 20.9205021999999 -1
2019-01-01,-89.6182437 20.9205213 0
2019-01-01,-89.6182439 20.9205197999999 0
2019-01-01,-89.6182347 20.9205196 0
2019-01-01,-89.6182426 20.920517 0
2019-01-01,-89.6182469 20.9205346 -1
2019-01-01,-89.6182472 20.920534 0
2019-01-01,-89.6181169 20.9206187 0
2019-01-01,-89.6183922 20.9223961 0
2019-01-01,-89.6183451 20.9241155 0
2019-01-01,-89.6184749 20.9264346999999 0
2019-01-01,-89.6179421 20.927713 0
2019-01-01,-89.6181862 20.9276169 0
2019-01-01,-89.6181862 20.9276169 0
2019-01-01,-89.6185647 20.9274737999999 0
2019-01-01,-89.6185648 20.9274907 0
2019-01-01,-89.6185648 20.9274907 0
2019-01-01,-89.6185639 20.9274927 0
2019-01-01,-89.6185639 20.9274927 0
2019-01-01,-89.6185646 20.9274924 0
2019-01-01,-89.6185646 20.9274924 0
2019-01-01,-89.6185646 20.9274924 0
2019-01-01,-89.6185644999999 20.9274926 0
2019-01-01,-89.6185644999999 20.9274926 0
2019-01-01,-89.6185644999999 20.9274926 0
2019-01-01,-89.6185641 20.9274926 0
2019-01-01,-89.6185641 20.9274926 0
2019-01-01,-89.6185641 20.9274926 0
2019-01-01,-89.6185644999999 20.9274926 0
2019-01-01,-89.6185644999999 20.9274926 0
2019-01-01,-89.6185644999999 20.9274926 0
2019-01-01,-89.6185647 20.9274925 0
2019-01-01,-89.6185647 20.9274925 0
2019-01-01,-89.618562 20.9274949 0
2019-01-01,-89.618562 20.9274949 0
2019-01-01,-89.618562 20.9274949 0
2019-01-01,-89.618562 20.9274949 0
2019-01-01,-89.6185644999999 20.9274925 0
2019-01-01,-89.6185644999999 20.9274925 0
2019-01-01,-89.6185644999999 20.9274925 0
2019-01-01,-89.6185644999999 20.9274925 0
2019-01-01,-89.6185651999999 20.9274921 0
2019-01-01,-89.6185644999999 20.9274910999999 0
2019-01-01,-89.6185663 20.9274935 0
2019-01-01,-89.6185646 20.9274903 0
2019-01-01,-89.6185646 20.9274903 0
2019-01-01,-89.6185656999999 20.9274933 0
2019-01-01,-89.6185656999999 20.9274933 0
2019-01-01,-89.618562 20.9274949 0
2019-01-01,-89.618562 20.9274949 0
2019-01-01,-89.6185639999999 20.9274928 0
2019-01-01,-89.6185637 20.9274928 0
2019-01-01,-89.6185637 20.9274928 0
2019-01-01,-89.618562 20.9274949 0
2019-01-01,-89.618562 20.9274949 0
2019-01-01,-89.6185635 20.9274928 0
2019-01-01,-89.6185635 20.9274928 0
2019-01-01,-89.6185637999999 20.9274927 0
2019-01-01,-89.6185636 20.9274929 0
2019-01-01,-89.6185647 20.9274935 0
2019-01-01,-89.6185644 20.9274934 0
2019-01-01,-89.6185634 20.9274929 0
2019-01-01,-89.6185632999999 20.9274929 0
2019-01-01,-89.6185632 20.9274929 0
2019-01-01,-89.6185663 20.9274885 0
2019-01-01,-89.6185663 20.9274885 0
2019-01-01,-89.6185649 20.9274941 0
2019-01-01,-89.6185823 20.927488 0
2019-01-01,-89.6186306 20.9274708 0
2019-01-01,-89.6186300999999 20.9274709 0
2019-01-01,-89.6186183 20.9274685999999 0
2019-01-01,-89.6186183 20.9274685999999 0
2019-01-01,-89.6185758 20.9274968 -18
2019-01-01,-89.6186012 20.9274971 -12
